FechaInicio,FechaFin,Unidades,TotalPedidos,Metrica_ACS,Metrica_GRASP,Diferencia
2027-08-01,2027-08-01,2703,494,40.7635,51.1712,-10.4078
2027-08-07,2027-08-07,2741,484,39.9757,50.7675,-10.7918
2027-06-09,2027-06-09,2530,467,37.0121,47.6312,-10.6190
2027-10-06,2027-10-06,2591,464,36.6495,48.8541,-12.2045
2027-11-05,2027-11-05,2412,463,35.5580,44.7686,-9.2106
2027-10-08,2027-10-08,2511,458,39.7835,49.6104,-9.8268
2027-08-06,2027-08-06,2533,444,38.9612,51.9252,-12.9639
2027-06-02,2027-06-02,2461,442,38.2484,45.3872,-7.1387
2027-11-01,2027-11-01,2406,442,36.8867,46.0723,-9.1856
2027-07-01,2027-07-01,2426,441,35.7684,47.8866,-12.1182
2027-07-10,2027-07-10,2286,436,33.8801,43.0394,-9.1593
2027-08-04,2027-08-04,2443,434,35.7617,49.2829,-13.5212
2027-06-03,2027-06-03,2377,428,34.5852,42.7272,-8.1420
2027-09-02,2027-09-02,2354,422,35.4658,45.5233,-10.0575
2027-07-06,2027-07-06,2354,418,34.8705,44.0083,-9.1378
2027-10-02,2027-10-02,2315,410,34.7642,41.7355,-6.9713
2027-05-01,2027-05-01,2263,409,34.3881,43.7280,-9.3399
2027-05-03,2027-05-03,2259,403,32.5167,40.9999,-8.4832
2027-05-05,2027-05-05,2254,400,33.5196,40.7249,-7.2053
2027-09-01,2027-09-01,2146,398,30.9204,38.0526,-7.1322
