FechaInicio,FechaFin,Unidades,TotalPedidos,Metrica_ACS,Metrica_GRASP,Diferencia
2027-08-01,2027-08-01,2703,494,41.2500,48.1588,-6.9088
2027-12-02,2027-12-02,2633,487,41.2637,49.0493,-7.7856
2027-08-07,2027-08-07,2741,484,40.6848,46.3594,-5.6746
2027-09-05,2027-09-05,2671,482,39.8943,47.9418,-8.0476
2027-07-04,2027-07-04,2637,480,40.9348,48.3727,-7.4379
2027-06-09,2027-06-09,2530,467,37.7952,43.8234,-6.0281
2027-07-11,2027-07-11,2551,467,37.5100,44.7389,-7.2289
2027-07-03,2027-07-03,2613,466,41.3777,49.1585,-7.7808
2027-10-06,2027-10-06,2591,464,37.3553,45.7911,-8.4358
2027-11-05,2027-11-05,2412,463,34.9299,42.4253,-7.4954
2027-10-08,2027-10-08,2511,458,39.1115,45.7690,-6.6575
2027-07-10,2027-07-10,2286,436,33.9603,41.6085,-7.6483
2027-08-04,2027-08-04,2443,434,37.5166,46.7878,-9.2713
2027-06-03,2027-06-03,2377,428,34.4364,39.5524,-5.1160
2027-07-06,2027-07-06,2354,418,34.3825,40.7688,-6.3862
2027-10-02,2027-10-02,2315,410,34.9490,40.2072,-5.2583
2027-05-01,2027-05-01,2263,409,33.2889,40.9075,-7.6186
2027-09-10,2027-09-10,2198,404,29.4997,37.5207,-8.0210
2027-05-03,2027-05-03,2259,403,33.2386,37.5242,-4.2856
2027-05-05,2027-05-05,2254,400,32.7067,37.7264,-5.0197
